arg HH.Re HH.Im HV.Re HV.Im VH.Re VH.Im VV.Re VV.Im
0 0.95694 0.18597 0.033606 -0.02485 -0.03361 0.02485 -0.99575 -0.15728
1 0.87702 0.261629 0.040545 -0.01538 -0.04055 0.015376 -0.91998 -0.2433
2 0.783459 0.324072 0.044947 -0.00426 -0.04495 0.004258 -0.82781 -0.31676
3 0.681292 0.372362 0.043603 0.005807 -0.0436 -0.00581 -0.72802 -0.37866
4 0.571329 0.403099 0.042011 0.018 -0.04201 -0.018 -0.61354 -0.41926
5 0.458878 0.416684 0.03734 0.029591 -0.03734 -0.02959 -0.49425 -0.44112
6 0.348292 0.415005 0.028853 0.036629 -0.02885 -0.03663 -0.3765 -0.45049
7 0.242273 0.396002 0.018896 0.044717 -0.0189 -0.04472 -0.26057 -0.43474
8 0.144505 0.362751 0.007086 0.05016 -0.00709 -0.05016 -0.15252 -0.40201
9 0.057253 0.318957 -0.00493 0.049554 0.004927 -0.04955 -0.05373 -0.3613
10 -0.01653 0.264544 -0.01821 0.048627 0.018206 -0.04863 0.028699 -0.30192
11 -0.07672 0.204483 -0.02883 0.042533 0.02883 -0.04253 0.100408 -0.23894
12 -0.12097 0.140384 -0.0403 0.035223 0.040295 -0.03522 0.14904 -0.16627
13 -0.15092 0.076083 -0.0472 0.024706 0.047201 -0.02471 0.187408 -0.09411
14 -0.16563 0.014048 -0.05396 0.012621 0.053962 -0.01262 0.201077 -0.02282
15 -0.16703 -0.04309 -0.05767 -0.00081 0.05767 0.000807 0.198947 0.042868
16 -0.15759 -0.09341 -0.05577 -0.01432 0.055765 0.014323 0.190675 0.101755
17 -0.13792 -0.13499 -0.05277 -0.0281 0.052765 0.028096 0.163472 0.148365
18 -0.11137 -0.16725 -0.04493 -0.03964 0.044932 0.039643 0.134457 0.187594
19 -0.07945 -0.18901 -0.03588 -0.05058 0.035882 0.050576 0.093577 0.209334
20 -0.04504 -0.20083 -0.0236 -0.05771 0.023601 0.057711 0.054973 0.225121
21 -0.00995 -0.20255 -0.01057 -0.06337 0.010568 0.063368 0.012405 0.221875
22 0.023643 -0.19547 0.003723 -0.06461 -0.00372 0.064608 -0.02487 0.215756
23 0.054191 -0.18029 0.017836 -0.06386 -0.01784 0.06386 -0.05912 0.192261
24 0.080328 -0.15872 0.03132 -0.05902 -0.03132 0.059021 -0.08672 0.169943
25 0.101089 -0.13204 0.043374 -0.05174 -0.04337 0.051739 -0.10887 0.142151
26 0.115858 -0.1019 0.053679 -0.04243 -0.05368 0.042427 -0.11978 0.103423
27 0.124391 -0.06985 0.061545 -0.03111 -0.06155 0.03111 -0.12689 0.071244
28 0.126739 -0.03738 0.066996 -0.01878 -0.067 0.018783 -0.12764 0.039015
29 0.12322 -0.00578 0.069293 -0.00553 -0.06929 0.005532 -0.11505 0.003851
30 0.114442 0.023742 0.069337 0.007293 -0.06934 -0.00729 -0.10365 -0.02236
31 0.10116 0.050265 0.067087 0.019473 -0.06709 -0.01947 -0.08828 -0.04479
32 0.083946 0.073164 0.061227 0.030958 -0.06123 -0.03096 -0.06188 -0.06459
33 0.064158 0.091794 0.05479 0.040413 -0.05479 -0.04041 -0.04166 -0.07621
34 0.042591 0.105979 0.047115 0.048103 -0.04712 -0.0481 -0.02096 -0.0831
35 0.020167 0.115682 0.038632 0.053894 -0.03863 -0.05389 -0.00072 -0.08546
36 -0.00227 0.121045 0.02977 0.057741 -0.02977 -0.05774 0.018242 -0.08368
37 -0.02396 0.122357 0.020937 0.059688 -0.02094 -0.05969 0.03527 -0.07832
38 -0.04428 0.120023 0.012506 0.059855 -0.01251 -0.05986 0.049881 -0.07003
39 -0.0627 0.114528 0.004793 0.058434 -0.00479 -0.05843 0.061788 -0.05954
40 -0.07883 0.106412 -0.00195 0.055667 0.001953 -0.05567 0.070883 -0.04755
41 -0.08568 0.101539 -0.00715 0.052149 0.007151 -0.05215 0.0772 -0.03476
42 -0.0969 0.09029 -0.01154 0.047561 0.011537 -0.04756 0.080981 -0.02174
43 -0.1054 0.078063 -0.01466 0.042487 0.014661 -0.04249 0.082498 -0.00901
44 -0.11122 0.065385 -0.01657 0.037203 0.016572 -0.0372 0.082116 0.003032
45 -0.1145 0.052745 -0.01737 0.031954 0.017373 -0.03195 0.080234 0.014086
46 -0.11233 0.045346 -0.01498 0.030347 0.014979 -0.03035 0.075661 0.021538
47 -0.10687 0.041836 -0.0137 0.02647 0.013698 -0.02647 0.072193 0.030408
48 -0.10079 0.038357 -0.01078 0.025194 0.010776 -0.02519 0.067633 0.036635
49 -0.08948 0.044904 -0.0074 0.024899 0.007402 -0.0249 0.063398 0.042305
50 -0.08022 0.046149 -0.00494 0.022668 0.004943 -0.02267 0.059745 0.047741
51 -0.07722 0.0343 -0.00409 0.017435 0.00409 -0.01744 0.056774 0.052844
52 -0.07421 0.024254 -0.00321 0.012992 0.003214 -0.01299 0.054167 0.056761
53 -0.07148 0.01615 -0.00237 0.009244 0.002374 -0.00924 0.05202 0.059649
54 -0.06927 0.010092 -0.0016 0.006062 0.001595 -0.00606 0.050397 0.061652
55 -0.06776 0.006155 -0.00088 0.003293 0.000879 -0.00329 0.049335 0.062882
56 -0.06706 0.004384 -0.00021 0.000764 0.000205 -0.00076 0.048857 0.063417
57 -0.06722 0.0048 0.000458 -0.00171 -0.00046 0.001708 0.048969 0.063293
58 -0.06824 0.007398 0.001145 -0.00431 -0.00115 0.004308 0.049671 0.0625
59 -0.07004 0.012148 0.001883 -0.00721 -0.00188 0.007214 0.05095 0.060987
60 -0.07247 0.018994 0.002687 -0.01059 -0.00269 0.010594 0.052778 0.058663
61 -0.07534 0.027851 0.003545 -0.01459 -0.00355 0.014593 0.055108 0.055402
62 -0.07838 0.038601 0.004421 -0.01933 -0.00442 0.019327 0.057867 0.051053
63 -0.0813 0.05109 0.005244 -0.02488 -0.00524 0.024876 0.060943 0.045456
64 -0.09698 0.035772 0.009295 -0.02372 -0.0093 0.023723 0.065109 0.040523
65 -0.10409 0.037848 0.0122 -0.02507 -0.0122 0.025066 0.069472 0.034604
