arg HH.Re HH.Im HV.Re HV.Im VH.Re VH.Im VV.Re VV.Im
0 0.169793 0.175603 0.037136 -0.02474 -0.03714 0.024736 -0.21267 -0.14704
1 0.152249 0.160671 0.014342 -0.01956 -0.01434 0.019558 -0.16853 -0.13861
2 0.130862 0.141207 -0.01213 -0.01436 0.012132 0.01436 -0.1177 -0.12544
3 0.108456 0.118364 -0.04026 -0.00937 0.040259 0.009365 -0.06554 -0.10841
4 0.087725 0.093505 -0.06782 -0.00476 0.067815 0.004759 -0.01728 -0.08863
5 0.070998 0.067991 -0.09256 -0.00065 0.092559 0.000645 0.022432 -0.06734
6 0.059478 0.04134 -0.11208 0.003868 0.112078 -0.00387 0.050142 -0.045
7 0.055888 0.016452 -0.12563 0.007953 0.125626 -0.00795 0.062847 -0.0238
8 0.060857 -0.00556 -0.1321 0.011477 0.132101 -0.01148 0.059513 -0.00477
9 0.074233 -0.02394 -0.13098 0.014358 0.130983 -0.01436 0.04057 0.011399
10 0.095126 -0.03832 -0.12239 0.016572 0.122389 -0.01657 0.007805 0.024333
11 0.122002 -0.04874 -0.10706 0.018146 0.107055 -0.01815 -0.03585 0.034027
12 0.152825 -0.0556 -0.08628 0.019159 0.086275 -0.01916 -0.08661 0.040781
13 0.185236 -0.05956 -0.06178 0.019727 0.061779 -0.01973 -0.14022 0.04514
14 0.217526 -0.06188 -0.03614 0.020405 0.036141 -0.02041 -0.19273 0.047894
15 0.247729 -0.06319 -0.01177 0.021149 0.011774 -0.02115 -0.24024 0.049582
16 0.272572 -0.06368 0.010037 0.021408 -0.01004 -0.02141 -0.27874 0.05078
17 0.290057 -0.06414 0.027598 0.021309 -0.0276 -0.02131 -0.30555 0.052197
18 0.298726 -0.06521 0.039572 0.020997 -0.03957 -0.021 -0.31907 0.054384
19 0.29775 -0.06735 0.04508 0.020628 -0.04508 -0.02063 -0.31879 0.05768
20 0.286978 -0.07075 0.043749 0.020347 -0.04375 -0.02035 -0.30534 0.062198
21 0.267568 -0.07495 0.035208 0.020028 -0.03521 -0.02003 -0.28071 0.06748
22 0.240957 -0.07906 0.01989 0.019283 -0.01989 -0.01928 -0.24742 0.072813
23 0.207507 -0.08342 -8.5E-05 0.018581 0.000085 -0.01858 -0.20752 0.078388
24 0.169218 -0.08762 -0.02331 0.018072 0.023312 -0.01807 -0.16422 0.083774
25 0.128388 -0.09125 -0.04823 0.01788 0.04823 -0.01788 -0.12076 0.088507
26 0.087461 -0.09386 -0.07324 0.018097 0.073239 -0.0181 -0.08021 0.092135
27 0.049072 -0.09414 -0.09702 0.017899 0.097022 -0.0179 -0.04543 0.093408
28 0.015157 -0.09168 -0.11793 0.017157 0.117931 -0.01716 -0.0182 0.092039
29 -0.01266 -0.0874 -0.13458 0.01686 0.134584 -0.01686 0.000284 0.088939
30 -0.03279 -0.08138 -0.14628 0.017061 0.146281 -0.01706 0.009198 0.084196
31 -0.04406 -0.07379 -0.15269 0.017764 0.152687 -0.01776 0.008357 0.078005
32 -0.04612 -0.06406 -0.15347 0.017896 0.153473 -0.0179 -0.00143 0.069543
33 -0.03902 -0.05268 -0.14873 0.017569 0.148726 -0.01757 -0.019 0.059478
34 -0.02282 -0.0409 -0.13936 0.017749 0.139362 -0.01775 -0.04342 0.04936
35 0.001855 -0.02918 -0.12628 0.01838 0.126283 -0.01838 -0.0733 0.039631
36 0.033756 -0.01765 -0.11018 0.018944 0.110176 -0.01894 -0.10661 0.030148
37 0.070982 -0.00624 -0.09127 0.018617 0.091274 -0.01862 -0.14071 0.020422
38 0.112831 0.003922 -0.07165 0.018675 0.071651 -0.01868 -0.17556 0.012444
39 0.157855 0.012626 -0.05238 0.019021 0.052381 -0.01902 -0.21004 0.006345
40 0.204064 0.020007 -0.03351 0.018936 0.033506 -0.01894 -0.24173 0.001274
41 0.249975 0.025971 -0.01566 0.018473 0.015663 -0.01847 -0.26984 -0.00253
42 0.294899 0.03031 -0.00035 0.018196 0.000351 -0.0182 -0.29547 -0.00427
43 0.337696 0.033179 0.012239 0.017897 -0.01224 -0.0179 -0.318 -0.00442
44 0.376845 0.034821 0.023276 0.017003 -0.02328 -0.017 -0.33468 -0.00408
45 0.412506 0.035329 0.031112 0.016196 -0.03111 -0.0162 -0.34907 -0.00225
46 0.444293 0.034944 0.035876 0.015372 -0.03588 -0.01537 -0.36135 0.000585
47 0.471466 0.033812 0.03927 0.014145 -0.03927 -0.01415 -0.36802 0.003413
48 0.494628 0.032249 0.039982 0.01293 -0.03998 -0.01293 -0.37386 0.006855
49 0.5139 0.030433 0.038546 0.011645 -0.03855 -0.01165 -0.37852 0.010439
50 0.529317 0.028426 0.036188 0.010178 -0.03619 -0.01018 -0.37938 0.013728
51 0.541531 0.026543 0.032141 0.008689 -0.03214 -0.00869 -0.38103 0.016898
52 0.550867 0.024807 0.027138 0.007131 -0.02714 -0.00713 -0.38147 0.019648
53 0.557679 0.023295 0.021602 0.005513 -0.0216 -0.00551 -0.3806 0.021917
54 0.5624 0.022212 0.01529 0.003873 -0.01529 -0.00387 -0.38164 0.023636
55 0.565283 0.021403 0.008801 0.002204 -0.0088 -0.0022 -0.38028 0.024783
56 0.566531 0.021059 0.002123 0.000521 -0.00212 -0.00052 -0.38016 0.025296
57 0.566237 0.021184 -0.00466 -0.00116 0.00466 0.001162 -0.38119 0.025155
58 0.564385 0.021634 -0.01136 -0.00284 0.01136 0.002838 -0.38013 0.024427
59 0.560845 0.022581 -0.01769 -0.0045 0.017685 0.004502 -0.38129 0.023053
60 0.55535 0.023844 -0.02379 -0.00613 0.023787 0.006132 -0.3812 0.021115
61 0.547618 0.025411 -0.02924 -0.00772 0.029241 0.007722 -0.38072 0.018638
62 0.537308 0.027297 -0.03354 -0.00929 0.033537 0.009289 -0.3817 0.015789
63 0.523826 0.02918 -0.03737 -0.01073 0.037374 0.010728 -0.37887 0.012469
64 0.506996 0.031117 -0.03944 -0.01213 0.039442 0.012125 -0.37629 0.009019
65 0.486411 0.032927 -0.0396 -0.01347 0.0396 0.013472 -0.37301 0.00568
66 0.461536 0.0343 -0.03849 -0.01456 0.038494 0.014564 -0.36521 0.002173
67 0.432639 0.035162 -0.03458 -0.01565 0.034575 0.015648 -0.35637 -0.0007
68 0.399584 0.03526 -0.02803 -0.01666 0.02803 0.016657 -0.345 -0.00278
69 0.362239 0.034362 -0.01965 -0.01725 0.019652 0.017251 -0.32829 -0.00451
70 0.321632 0.032258 -0.00805 -0.0179 0.008047 0.017901 -0.3092 -0.00477
71 0.278371 0.028746 0.006526 -0.01865 -0.00653 0.018649 -0.2873 -0.00326
72 0.232543 0.023924 0.022164 -0.01861 -0.02216 0.018613 -0.25949 -0.0013
73 0.186215 0.017477 0.040175 -0.01872 -0.04018 0.01872 -0.22937 0.002622
74 0.140658 0.00937 0.059868 -0.01908 -0.05987 0.019081 -0.19738 0.008684
75 0.096691 0.000066 0.079486 -0.01896 -0.07949 0.018958 -0.16288 0.015758
76 0.056035 -0.01028 0.09839 -0.01845 -0.09839 0.018451 -0.12733 0.02367
77 0.020627 -0.02173 0.116252 -0.01829 -0.11625 0.018292 -0.09315 0.033098
78 -0.00821 -0.03396 0.131933 -0.01857 -0.13193 0.01857 -0.06175 0.043762
79 -0.02982 -0.04573 0.143676 -0.01813 -0.14368 0.018131 -0.03377 0.053813
80 -0.04291 -0.05686 0.151029 -0.01742 -0.15103 0.017415 -0.01136 0.06316
81 -0.04661 -0.0674 0.153621 -0.01718 -0.15362 0.017177 0.003531 0.072177
82 -0.04085 -0.07693 0.150885 -0.01746 -0.15089 0.017456 0.009826 0.080441
83 -0.02604 -0.08484 0.142537 -0.01798 -0.14254 0.017983 0.00687 0.087281
84 -0.00292 -0.08949 0.128798 -0.01724 -0.1288 0.017241 -0.00563 0.090719
85 0.027498 -0.09236 0.110494 -0.01699 -0.11049 0.016991 -0.02764 0.092415
86 0.063466 -0.09347 0.088465 -0.01722 -0.08847 0.017215 -0.05807 0.092371
87 0.10289 -0.09296 0.063871 -0.01785 -0.06387 0.017846 -0.09518 0.090717
88 0.143451 -0.09107 0.038131 -0.01878 -0.03813 0.018777 -0.13663 0.087692
89 0.183776 -0.08667 0.013786 -0.01872 -0.01379 0.018724 -0.18048 0.082342
90 0.220965 -0.08171 -0.00798 -0.01884 0.007983 0.018842 -0.22321 0.076319
